"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Minnesota"	"27"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			12	2412130	Unreliable
"Total"	"Minnesota"	"27"	"Female"	"F"	"2015"	"2015"					38	2412130	1.6
"Total"	"Minnesota"	"27"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			13	2424242	Unreliable
"Total"	"Minnesota"	"27"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			15	2424242	Unreliable
"Total"	"Minnesota"	"27"	"Female"	"F"	"2016"	"2016"					35	2424242	1.4
"Total"	"Minnesota"	"27"	"Female"	"F"							166	11973150	1.4
"Total"	"Minnesota"	"27"									166	11973150	1.4
"Total"	"Mississippi"	"28"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			20	1334241	1.5
"Total"	"Mississippi"	"28"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			37	1334241	2.8
"Total"	"Mississippi"	"28"	"Female"	"F"	"2012"	"2012"					58	1334241	4.3
"Total"	"Mississippi"	"28"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			17	1336867	Unreliable
"Total"	"Mississippi"	"28"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			33	1336867	2.5
"Total"	"Mississippi"	"28"	"Female"	"F"	"2013"	"2013"					51	1336867	3.8
"Total"	"Mississippi"	"28"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			11	1342073	Unreliable
"Total"	"Mississippi"	"28"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			20	1342073	1.5
"Total"	"Mississippi"	"28"	"Female"	"F"	"2014"	"2014"					34	1342073	2.5
"Total"	"Mississippi"	"28"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			12	1344800	Unreliable
"Total"	"Mississippi"	"28"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			35	1344800	2.6
"Total"	"Mississippi"	"28"	"Female"	"F"	"2015"	"2015"					49	1344800	3.6
"Total"	"Mississippi"	"28"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			13	1347047	Unreliable
"Total"	"Mississippi"	"28"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			32	1347047	2.4
"Total"	"Mississippi"	"28"	"Female"	"F"	"2016"	"2016"					45	1347047	3.3
"Total"	"Mississippi"	"28"	"Female"	"F"							237	6705028	3.5
"Total"	"Mississippi"	"28"									237	6705028	3.5
"Total"	"Missouri"	"29"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			29	2694659	1.1
"Total"	"Missouri"	"29"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			32	2694659	1.2
"Total"	"Missouri"	"29"	"Female"	"F"	"2012"	"2012"					69	2694659	2.6
"Total"	"Missouri"	"29"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			34	2704580	1.3
"Total"	"Missouri"	"29"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			32	2704580	1.2
"Total"	"Missouri"	"29"	"Female"	"F"	"2013"	"2013"					69	2704580	2.6
"Total"	"Missouri"	"29"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			32	2716241	1.2
	"Missouri"	"29"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	10	224133	Unreliable
"Total"	"Missouri"	"29"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			38	2716241	1.4
"Total"	"Missouri"	"29"	"Female"	"F"	"2014"	"2014"					73	2716241	2.7
"Total"	"Missouri"	"29"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			27	2726320	1.0
"Total"	"Missouri"	"29"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			38	2726320	1.4
"Total"	"Missouri"	"29"	"Female"	"F"	"2015"	"2015"					70	2726320	2.6
"Total"	"Missouri"	"29"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			33	2730372	1.2
	"Missouri"	"29"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	10	210481	Unreliable
"Total"	"Missouri"	"29"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			66	2730372	2.4
"Total"	"Missouri"	"29"	"Female"	"F"	"2016"	"2016"					102	2730372	3.7
"Total"	"Missouri"	"29"	"Female"	"F"							383	13572172	2.8
"Total"	"Missouri"	"29"									383	13572172	2.8
"Total"	"Montana"	"30"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			10	440021	Unreliable
"Total"	"Montana"	"30"	"Female"	"F"	"2012"	"2012"					20	440021	4.5
"Total"	"Montana"	"30"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			10	444445	Unreliable
"Total"	"Montana"	"30"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			14	444445	Unreliable
"Total"	"Montana"	"30"	"Female"	"F"	"2013"	"2013"					25	444445	5.6
"Total"	"Montana"	"30"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			10	448165	Unreliable
"Total"	"Montana"	"30"	"Female"	"F"	"2014"	"2014"					19	448165	Unreliable
"Total"	"Montana"	"30"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			20	451928	4.4
"Total"	"Montana"	"30"	"Female"	"F"	"2015"	"2015"					31	451928	6.9
"Total"	"Montana"	"30"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			17	455965	Unreliable
"Total"	"Montana"	"30"	"Female"	"F"	"2016"	"2016"					19	455965	Unreliable
"Total"	"Montana"	"30"	"Female"	"F"							114	2240524	5.1
"Total"	"Montana"	"30"									114	2240524	5.1
"Total"	"Nebraska"	"31"	"Female"	"F"	"2013"	"2013"					12	810400	Unreliable
"Total"	"Nebraska"	"31"	"Female"	"F"	"2015"	"2015"					11	822262	Unreliable
"Total"	"Nebraska"	"31"	"Female"	"F"							45	4080233	1.1
"Total"	"Nebraska"	"31"									45	4080233	1.1
"Total"	"Nevada"	"32"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			45	1187271	3.8
"Total"	"Nevada"	"32"	"Female"	"F"	"2012"	"2012"					52	1187271	4.4
"Total"	"Nevada"	"32"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			38	1205263	3.2
"Total"	"Nevada"	"32"	"Female"	"F"	"2013"	"2013"					44	1205263	3.7
"Total"	"Nevada"	"32"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			44	1233204	3.6
"Total"	"Nevada"	"32"	"Female"	"F"	"2014"	"2014"					52	1233204	4.2
"Total"	"Nevada"	"32"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			47	1259784	3.7
"Total"	"Nevada"	"32"	"Female"	"F"	"2015"	"2015"					52	1259784	4.1
"Total"	"Nevada"	"32"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			15	1282686	Unreliable
"Total"	"Nevada"	"32"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			36	1282686	2.8
"Total"	"Nevada"	"32"	"Female"	"F"	"2016"	"2016"					60	1282686	4.7
"Total"	"Nevada"	"32"	"Female"	"F"							260	6168208	4.2
"Total"	"Nevada"	"32"									260	6168208	4.2
"Total"	"New Hampshire"	"33"	"Female"	"F"	"2012"	"2012"					15	599384	Unreliable
"Total"	"New Hampshire"	"33"	"Female"	"F"	"2013"	"2013"					10	601278	Unreliable
"Total"	"New Hampshire"	"33"	"Female"	"F"	"2014"	"2014"					10	604258	Unreliable
"Total"	"New Hampshire"	"33"	"Female"	"F"	"2015"	"2015"					19	606598	Unreliable
"Total"	"New Hampshire"	"33"	"Female"	"F"	"2016"	"2016"					14	608432	Unreliable
"Total"	"New Hampshire"	"33"	"Female"	"F"							68	3019950	2.3
"Total"	"New Hampshire"	"33"									68	3019950	2.3
"Total"	"New Jersey"	"34"	"Female"	"F"	"2012"	"2012"					14	4008518	Unreliable
"Total"	"New Jersey"	"34"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			15	4021611	Unreliable
"Total"	"New Jersey"	"34"	"Female"	"F"	"2013"	"2013"					26	4021611	0.6
"Total"	"New Jersey"	"34"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			18	4045436	Unreliable
"Total"	"New Jersey"	"34"	"Female"	"F"	"2014"	"2014"					25	4045436	0.6
"Total"	"New Jersey"	"34"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			12	4058378	Unreliable
"Total"	"New Jersey"	"34"	"Female"	"F"	"2015"	"2015"					25	4058378	0.6
"Total"	"New Jersey"	"34"	"Female"	"F"	"2016"	"2016"					14	4054408	Unreliable
"Total"	"New Jersey"	"34"	"Female"	"F"							104	20188351	0.5
"Total"	"New Jersey"	"34"									104	20188351	0.5
"Total"	"New Mexico"	"35"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			19	911690	Unreliable
"Total"	"New Mexico"	"35"	"Female"	"F"	"2012"	"2012"					26	911690	2.9
"Total"	"New Mexico"	"35"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			25	912687	2.7
"Total"	"New Mexico"	"35"	"Female"	"F"	"2013"	"2013"					32	912687	3.5
"Total"	"New Mexico"	"35"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			22	915544	2.4
"Total"	"New Mexico"	"35"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			11	915544	Unreliable
"Total"	"New Mexico"	"35"	"Female"	"F"	"2014"	"2014"					34	915544	3.7
"Total"	"New Mexico"	"35"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			36	916770	3.9
"Total"	"New Mexico"	"35"	"Female"	"F"	"2015"	"2015"					42	916770	4.6
"Total"	"New Mexico"	"35"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			35	919380	3.8
"Total"	"New Mexico"	"35"	"Female"	"F"	"2016"	"2016"					38	919380	4.1
"Total"	"New Mexico"	"35"	"Female"	"F"							172	4576071	3.8
"Total"	"New Mexico"	"35"									172	4576071	3.8
"Total"	"New York"	"36"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by drowning and submersion"	"X71"			12	8946921	Unreliable
"Total"	"New York"	"36"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			31	8946921	0.3
"Total"	"New York"	"36"	"Female"	"F"	"2012"	"2012"					58	8946921	0.6
"Total"	"New York"	"36"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by drowning and submersion"	"X71"			10	8979819	Unreliable
"Total"	"New York"	"36"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			24	8979819	0.3
"Total"	"New York"	"36"	"Female"	"F"	"2013"	"2013"					44	8979819	0.5
"Total"	"New York"	"36"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by drowning and submersion"	"X71"			11	9028620	Unreliable
"Total"	"New York"	"36"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			25	9028620	0.3
"Total"	"New York"	"36"	"Female"	"F"	"2014"	"2014"					47	9028620	0.5
"Total"	"New York"	"36"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			27	9049351	0.3
"Total"	"New York"	"36"	"Female"	"F"	"2015"	"2015"					45	9049351	0.5
"Total"	"New York"	"36"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by drowning and submersion"	"X71"			17	9031273	Unreliable
"Total"	"New York"	"36"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			31	9031273	0.3
"Total"	"New York"	"36"	"Female"	"F"	"2016"	"2016"					55	9031273	0.6
"Total"	"New York"	"36"	"Female"	"F"							249	45035984	0.6
"Total"	"New York"	"36"									249	45035984	0.6
	"North Carolina"	"37"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"30-34 years"	"30-34"	11	322589	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	17	347450	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	15	353786	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	10	298818	Unreliable
"Total"	"North Carolina"	"37"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			103	4381493	2.4
"Total"	"North Carolina"	"37"	"Female"	"F"	"2012"	"2012"					122	4381493	2.8
	"North Carolina"	"37"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	16	343427	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	14	357539	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	14	339142	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	11	303213	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	10	256838	Unreliable
"Total"	"North Carolina"	"37"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			107	4431901	2.4
"Total"	"North Carolina"	"37"	"Female"	"F"	"2013"	"2013"					115	4431901	2.6
"Total"	"North Carolina"	"37"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			18	4486170	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	14	346207	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	12	360537	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	12	344034	Unreliable
"Total"	"North Carolina"	"37"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			111	4486170	2.5
"Total"	"North Carolina"	"37"	"Female"	"F"	"2014"	"2014"					139	4486170	3.1
"Total"	"North Carolina"	"37"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			26	4540291	0.6
	"North Carolina"	"37"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	10	343749	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	12	360092	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	13	349890	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	10	281372	Unreliable
"Total"	"North Carolina"	"37"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			83	4540291	1.8
"Total"	"North Carolina"	"37"	"Female"	"F"	"2015"	"2015"					116	4540291	2.6
"Total"	"North Carolina"	"37"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			29	4603018	0.6
	"North Carolina"	"37"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"35-39 years"	"35-39"	10	329442	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	12	352571	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	14	357434	Unreliable
	"North Carolina"	"37"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	12	356582	Unreliable
"Total"	"North Carolina"	"37"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			98	4603018	2.1
"Total"	"North Carolina"	"37"	"Female"	"F"	"2016"	"2016"					134	4603018	2.9
"Total"	"North Carolina"	"37"	"Female"	"F"							626	22442873	2.8
"Total"	"North Carolina"	"37"									626	22442873	2.8
"Total"	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"					10	317735	Unreliable
"Total"	"North Dakota"	"38"	"Female"	"F"							34	1554667	2.2
"Total"	"North Dakota"	"38"									34	1554667	2.2
"Total"	"Ohio"	"39"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			13	5201797	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"35-39 years"	"35-39"	10	337932	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	11	404063	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	11	447721	Unreliable
"Total"	"Ohio"	"39"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			81	5201797	1.6
"Total"	"Ohio"	"39"	"Female"	"F"	"2012"	"2012"					103	5201797	2.0
"Total"	"Ohio"	"39"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			20	5214539	0.4
	"Ohio"	"39"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	12	438582	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	12	431376	Unreliable
"Total"	"Ohio"	"39"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			82	5214539	1.6
"Total"	"Ohio"	"39"	"Female"	"F"	"2013"	"2013"					106	5214539	2.0
"Total"	"Ohio"	"39"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			14	5225515	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	12	381210	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	14	431666	Unreliable
"Total"	"Ohio"	"39"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			77	5225515	1.5
"Total"	"Ohio"	"39"	"Female"	"F"	"2014"	"2014"					98	5225515	1.9
"Total"	"Ohio"	"39"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			19	5234586	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	12	355696	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	12	377322	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	13	421403	Unreliable
"Total"	"Ohio"	"39"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			86	5234586	1.6
"Total"	"Ohio"	"39"	"Female"	"F"	"2015"	"2015"					114	5234586	2.2
"Total"	"Ohio"	"39"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by drowning and submersion"	"X71"			10	5233570	Unreliable
"Total"	"Ohio"	"39"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			23	5233570	0.4
	"Ohio"	"39"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	14	377856	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	13	406404	Unreliable
	"Ohio"	"39"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	15	392416	Unreliable
"Total"	"Ohio"	"39"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			88	5233570	1.7
"Total"	"Ohio"	"39"	"Female"	"F"	"2016"	"2016"					124	5233570	2.4
"Total"	"Ohio"	"39"	"Female"	"F"							545	26110007	2.1
"Total"	"Ohio"	"39"									545	26110007	2.1
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			55	1667412	3.3
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2012"	"2012"					63	1667412	3.8
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			52	1682298	3.1
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			10	1682298	Unreliable
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2013"	"2013"					64	1682298	3.8
	"Oklahoma"	"40"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"45-49 years"	"45-49"	10	113964	Unreliable
	"Oklahoma"	"40"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"50-54 years"	"50-54"	11	132868	Unreliable
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			62	1695972	3.7
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			12	1695972	Unreliable
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2014"	"2014"					79	1695972	4.7
	"Oklahoma"	"40"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	"60-64 years "	"60-64"	10	117670	Unreliable
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			60	1710557	3.5
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2015"	"2015"					69	1710557	4.0
	"Oklahoma"	"40"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	"40-44 years"	"40-44"	10	113807	Unreliable
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			57	1716664	3.3
"Total"	"Oklahoma"	"40"	"Female"	"F"	"2016"	"2016"					65	1716664	3.8
"Total"	"Oklahoma"	"40"	"Female"	"F"							340	8472903	4.0
"Total"	"Oklahoma"	"40"									340	8472903	4.0
"Total"	"Oregon"	"41"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			36	1738392	2.1
"Total"	"Oregon"	"41"	"Female"	"F"	"2012"	"2012"					48	1738392	2.8
"Total"	"Oregon"	"41"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			45	1756085	2.6
"Total"	"Oregon"	"41"	"Female"	"F"	"2013"	"2013"					58	1756085	3.3
"Total"	"Oregon"	"41"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			44	1776354	2.5
"Total"	"Oregon"	"41"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			10	1776354	Unreliable
"Total"	"Oregon"	"41"	"Female"	"F"	"2014"	"2014"					59	1776354	3.3
"Total"	"Oregon"	"41"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			48	1804544	2.7
"Total"	"Oregon"	"41"	"Female"	"F"	"2015"	"2015"					54	1804544	3.0
"Total"	"Oregon"	"41"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			52	1832659	2.8
"Total"	"Oregon"	"41"	"Female"	"F"	"2016"	"2016"					60	1832659	3.3
"Total"	"Oregon"	"41"	"Female"	"F"							279	8908034	3.1
"Total"	"Oregon"	"41"									279	8908034	3.1
"Total"	"Pennsylvania"	"42"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			12	5814793	Unreliable
	"Pennsylvania"	"42"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	12	457147	Unreliable
	"Pennsylvania"	"42"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	11	498036	Unreliable
	"Pennsylvania"	"42"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	13	472278	Unreliable
"Total"	"Pennsylvania"	"42"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			77	5814793	1.3
"Total"	"Pennsylvania"	"42"	"Female"	"F"	"2012"	"2012"					102	5814793	1.8
"Total"	"Pennsylvania"	"42"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			14	5816708	Unreliable
